,Sample_6.raw (F8),Sample_7.raw (F9),Sample_12.raw (F15),Sample_15.raw (F18),Sample_17.raw (F21),Sample_2a.raw (F33),Sample_6a.raw (F37),Sample_7a.raw (F38),Sample_12a.raw (F44),Sample_15a.raw (F47),Sample_17a.raw (F50),QC9.raw (F1),QC10.raw (F2),QC11.raw (F11),QC12.raw (F20),Solvent_Blank.raw (F27),QC13.raw (F28),QC14.raw (F29),QCB4.raw (F30),QCB5.raw (F31),QCB6.raw (F40),QCB7.raw (F49),QCB8.raw (F56),QCB9.raw (F57),Sample_1.raw (F3),Sample_3.raw (F5),Sample_4.raw (F6),Sample_5.raw (F7),Sample_10.raw (F13),Sample_11.raw (F14),Sample_14.raw (F17),Sample_16.raw (F19),Sample_18.raw (F22),Sample_19.raw (F23),Sample_20.raw (F24),Sample_1a.raw (F32),Sample_3a.raw (F34),Sample_4a.raw (F35),Sample_5a.raw (F36),Sample_10a.raw (F42),Sample_11a.raw (F43),Sample_14a.raw (F46),Sample_16a.raw (F48),Sample_18a.raw (F51),Sample_19a.raw (F52),Sample_20a.raw (F53),Sample_8.raw (F10),Sample_13.raw (F16),Sample_8a.raw (F39),Sample_13a.raw (F45)
C5H7O2PS_nan_0.4,6.484884084453946,6.355081173902272,6.426295575093962,6.484884084453946,6.484884084453946,6.539215475290718,6.539215475290718,6.484884084453946,6.539215475290718,6.5842569095918755,6.484884084453946,6.01521605146658,5.965376179707063,6.073757731664767,5.965376179707063,4.6736942045983785,5.919661656074299,5.965376179707063,6.073757731664767,6.073757731664767,6.122230297007607,6.165860413826668,6.122230297007607,6.122230297007607,6.073757731664767,6.01521605146658,6.355081173902272,5.856852141026423,5.965376179707063,6.484884084453946,5.731104332301989,6.01521605146658,6.073757731664767,5.601842432522331,6.205532258812314,6.165860413826668,6.122230297007607,6.539215475290718,6.165860413826668,6.205532258812314,6.300314797412803,6.300314797412803,6.272237092747912,6.01521605146658,6.073757731664767,5.856852141026423,6.684182899809737,5.965376179707063,6.205532258812314,6.01521605146658
C2H5Hg_Ethyl mercury ion_-1.41,6.300314797412803,6.272237092747912,6.300314797412803,6.426295575093962,6.272237092747912,6.205532258812314,6.205532258812314,6.300314797412803,6.300314797412803,6.355081173902272,6.300314797412803,6.205532258812314,6.205532258812314,6.205532258812314,6.205532258812314,5.965376179707063,6.205532258812314,6.205532258812314,6.205532258812314,6.205532258812314,6.205532258812314,6.205532258812314,6.205532258812314,6.205532258812314,6.01521605146658,6.165860413826668,6.426295575093962,6.165860413826668,6.165860413826668,6.165860413826668,6.165860413826668,6.165860413826668,6.165860413826668,6.205532258812314,6.272237092747912,6.01521605146658,6.205532258812314,6.300314797412803,5.965376179707063,6.122230297007607,6.073757731664767,6.073757731664767,6.205532258812314,6.165860413826668,6.122230297007607,6.272237092747912,6.165860413826668,6.272237092747912,6.122230297007607,6.272237092747912
C10H11ClNO13P_nan_2.74,5.965376179707063,6.01521605146658,5.965376179707063,5.919661656074299,6.122230297007607,5.731104332301989,5.676590267538146,5.791452482908527,5.791452482908527,5.919661656074299,5.731104332301989,5.856852141026423,5.919661656074299,5.856852141026423,5.856852141026423,4.816721801603626,6.01521605146658,5.919661656074299,5.676590267538146,5.731104332301989,5.676590267538146,5.5061243302004605,5.731104332301989,5.601842432522331,5.458239149313186,5.791452482908527,6.122230297007607,5.5061243302004605,5.856852141026423,5.458239149313186,5.601842432522331,5.5589613985469795,5.791452482908527,5.791452482908527,5.856852141026423,5.296103222406486,5.458239149313186,5.919661656074299,5.025991629557692,5.731104332301989,5.025991629557692,5.140762289033081,5.025991629557692,5.296103222406486,5.232024647493585,5.417734990793432,5.919661656074299,6.355081173902272,5.731104332301989,6.122230297007607
C6H16N5O9P3_nan_-1.03,6.165860413826668,6.122230297007607,6.205532258812314,6.300314797412803,6.073757731664767,6.073757731664767,6.01521605146658,6.205532258812314,6.165860413826668,6.300314797412803,6.205532258812314,6.122230297007607,6.165860413826668,6.165860413826668,6.165860413826668,5.919661656074299,6.165860413826668,6.165860413826668,6.165860413826668,6.165860413826668,6.165860413826668,6.122230297007607,6.165860413826668,6.165860413826668,5.856852141026423,6.122230297007607,6.300314797412803,5.965376179707063,6.122230297007607,6.205532258812314,6.122230297007607,6.205532258812314,6.122230297007607,6.165860413826668,6.165860413826668,5.791452482908527,6.165860413826668,6.355081173902272,5.791452482908527,6.073757731664767,5.965376179707063,6.01521605146658,6.122230297007607,6.073757731664767,6.01521605146658,6.205532258812314,6.122230297007607,6.122230297007607,6.073757731664767,6.165860413826668
C8H14N2O5_gamma-Glutamylalanine_-0.51,6.122230297007607,6.205532258812314,6.165860413826668,6.165860413826668,6.205532258812314,5.856852141026423,5.919661656074299,5.919661656074299,5.856852141026423,5.856852141026423,5.919661656074299,6.165860413826668,6.122230297007607,6.122230297007607,6.122230297007607,5.856852141026423,6.073757731664767,6.122230297007607,5.856852141026423,5.856852141026423,5.856852141026423,5.856852141026423,5.856852141026423,5.856852141026423,6.122230297007607,6.205532258812314,6.205532258812314,6.073757731664767,6.205532258812314,5.856852141026423,6.01521605146658,5.965376179707063,6.205532258812314,6.073757731664767,6.073757731664767,5.919661656074299,6.073757731664767,5.965376179707063,5.731104332301989,5.965376179707063,5.458239149313186,5.791452482908527,5.601842432522331,5.919661656074299,5.856852141026423,5.965376179707063,5.965376179707063,6.205532258812314,5.856852141026423,5.919661656074299
C10H14N5O7P_Adenosine monophosphate_0.43,5.919661656074299,5.919661656074299,5.919661656074299,5.676590267538146,5.791452482908527,6.122230297007607,6.165860413826668,6.01521605146658,6.122230297007607,6.165860413826668,5.791452482908527,5.919661656074299,5.856852141026423,5.919661656074299,5.919661656074299,6.073757731664767,5.791452482908527,5.856852141026423,5.965376179707063,5.919661656074299,5.919661656074299,5.919661656074299,5.919661656074299,5.965376179707063,5.965376179707063,5.965376179707063,5.676590267538146,6.122230297007607,5.791452482908527,5.965376179707063,5.919661656074299,5.856852141026423,6.01521605146658,5.965376179707063,5.919661656074299,5.965376179707063,5.919661656074299,5.601842432522331,5.919661656074299,6.01521605146658,6.01521605146658,5.856852141026423,5.676590267538146,5.791452482908527,5.791452482908527,5.731104332301989,5.856852141026423,6.073757731664767,5.965376179707063,6.205532258812314
C6H2N2O12_nan_1.07,5.731104332301989,5.856852141026423,5.856852141026423,5.791452482908527,5.965376179707063,5.676590267538146,5.856852141026423,5.676590267538146,5.731104332301989,5.791452482908527,5.676590267538146,5.731104332301989,5.731104332301989,5.676590267538146,5.791452482908527,5.025991629557692,5.856852141026423,5.731104332301989,5.601842432522331,5.5589613985469795,5.601842432522331,5.676590267538146,5.601842432522331,5.676590267538146,5.5061243302004605,5.731104332301989,5.856852141026423,5.5589613985469795,5.731104332301989,5.5061243302004605,5.5589613985469795,5.601842432522331,5.676590267538146,5.731104332301989,5.676590267538146,5.353601683564514,5.5061243302004605,5.791452482908527,5.296103222406486,5.5589613985469795,5.296103222406486,5.296103222406486,5.296103222406486,5.417734990793432,5.417734990793432,5.458239149313186,5.791452482908527,6.01521605146658,5.791452482908527,5.965376179707063
C9H22NO15P3_nan_-2.27,6.01521605146658,6.073757731664767,6.073757731664767,6.205532258812314,5.919661656074299,5.919661656074299,5.791452482908527,6.073757731664767,5.919661656074299,6.205532258812314,6.073757731664767,5.965376179707063,6.01521605146658,5.965376179707063,6.01521605146658,5.791452482908527,5.965376179707063,6.073757731664767,5.919661656074299,5.965376179707063,6.01521605146658,6.01521605146658,6.01521605146658,6.01521605146658,5.417734990793432,5.919661656074299,6.165860413826668,5.919661656074299,6.01521605146658,6.122230297007607,5.965376179707063,6.122230297007607,5.856852141026423,5.919661656074299,6.122230297007607,5.458239149313186,6.01521605146658,6.205532258812314,5.417734990793432,5.856852141026423,5.856852141026423,5.965376179707063,6.073757731664767,5.856852141026423,5.919661656074299,6.165860413826668,6.01521605146658,5.919661656074299,6.01521605146658,6.073757731664767
C7H10NO4P_nan_-0.12,6.073757731664767,5.965376179707063,6.01521605146658,6.073757731664767,6.01521605146658,6.01521605146658,6.122230297007607,6.272237092747912,6.01521605146658,6.073757731664767,6.272237092747912,6.073757731664767,6.073757731664767,6.01521605146658,6.073757731664767,6.5842569095918755,6.122230297007607,6.01521605146658,6.122230297007607,6.122230297007607,6.073757731664767,6.073757731664767,6.073757731664767,6.073757731664767,6.300314797412803,6.073757731664767,6.073757731664767,6.205532258812314,6.073757731664767,6.073757731664767,6.205532258812314,6.073757731664767,5.919661656074299,6.122230297007607,6.01521605146658,6.073757731664767,5.965376179707063,6.122230297007607,6.205532258812314,6.165860413826668,6.122230297007607,6.122230297007607,6.165860413826668,6.122230297007607,6.205532258812314,6.073757731664767,6.073757731664767,5.791452482908527,6.165860413826668,5.791452482908527
C10H13N4O8P_Inosine-monophosphate_0.79,5.856852141026423,5.731104332301989,5.791452482908527,5.731104332301989,5.731104332301989,5.965376179707063,6.073757731664767,5.856852141026423,6.073757731664767,5.731104332301989,5.856852141026423,5.353601683564514,5.353601683564514,5.458239149313186,5.353601683564514,5.676590267538146,5.417734990793432,5.417734990793432,5.458239149313186,5.5061243302004605,5.353601683564514,5.296103222406486,5.025991629557692,5.417734990793432,4.6736942045983785,4.6736942045983785,5.731104332301989,4.816721801603626,4.6736942045983785,4.816721801603626,4.816721801603626,4.6736942045983785,4.924679002000464,4.924679002000464,5.025991629557692,4.816721801603626,4.924679002000464,6.01521605146658,4.924679002000464,4.6736942045983785,4.924679002000464,4.924679002000464,4.924679002000464,4.6736942045983785,4.6736942045983785,4.6736942045983785,4.6736942045983785,4.924679002000464,4.816721801603626,4.6736942045983785
