Name,Formula,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Sample_2.raw (F4),Sample_6.raw (F8),Sample_7.raw (F9),Sample_12.raw (F15),Sample_15.raw (F18),Sample_17.raw (F21),Sample_2a.raw (F33),Sample_6a.raw (F37),Sample_7a.raw (F38),Sample_12a.raw (F44),Sample_15a.raw (F47),Sample_17a.raw (F50),QC9.raw (F1),QC10.raw (F2),QC11.raw (F11),QC12.raw (F20),Solvent_Blank.raw (F27),QC13.raw (F28),QC14.raw (F29),QCB4.raw (F30),QCB5.raw (F31),QCB6.raw (F40),QCB7.raw (F49),QCB8.raw (F56),QCB9.raw (F57),Sample_1.raw (F3),Sample_3.raw (F5),Sample_4.raw (F6),Sample_5.raw (F7),Sample_10.raw (F13),Sample_11.raw (F14),Sample_14.raw (F17),Sample_16.raw (F19),Sample_18.raw (F22),Sample_19.raw (F23),Sample_20.raw (F24),Sample_1a.raw (F32),Sample_3a.raw (F34),Sample_4a.raw (F35),Sample_5a.raw (F36),Sample_10a.raw (F42),Sample_11a.raw (F43),Sample_14a.raw (F46),Sample_16a.raw (F48),Sample_18a.raw (F51),Sample_19a.raw (F52),Sample_20a.raw (F53),Sample_8.raw (F10),Sample_13.raw (F16),Sample_8a.raw (F39),Sample_13a.raw (F45)
,C9 H22 N O15 P3,-2.27,477.01914,478.02642,5.759,2065079.127,2218864.556,2600918.525,2997396.179,2984077.198,1437893.447,448992.8442,286299.4688,1139639.547,683014.3772,1816506.088,1292724.026,1737427.041,1719506.11,1886031.107,1845025.576,22007.96351,2031685.59,2240942.312,631113.6798,745190.1261,783877.9645,799706.3428,871259.2085,885887.5192,298102.2231,1285173.877,2991517.179,793582.2661,1358039.211,2039443.989,1189893.099,1823005.82,1028200.194,1244472.256,2250295.759,202171.2734,454609.1817,2498708.447,164354.5971,768202.2622,471705.4435,490554.5144,954539.6588,519216.1158,600477.0637,1116507.396,1064682.145,2513795.934,390086.6785,1144368.821
,C7 H10 N O4 P,-0.12,203.03472,241.99796,4.018,2595511.685,2547440.452,2480845.23,2562547.411,2689031.285,1952828.722,549798.5984,781064.9154,1642363.114,804641.8237,1161484.375,1731420.906,1904430.515,2054008.666,1966902.405,2007385.163,33619.76646,2394393.059,2144040.244,921685.8061,926178.469,1000156.756,901309.6124,925989.4653,974591.0964,1292147.986,1773150.414,2589951.119,1716090.377,1423514.315,1882857.884,1924240.54,1800185.414,1346600.445,1746982.154,1906832.273,639890.7235,446372.1377,1897188.074,709524.125,1286332.847,971431.1682,835877.7532,1129563.365,873925.0568,1176008.895,856708.6067,1133184.722,1774278.49,848844.4855,709192.0419
Inosine-monophosphate,C10 H13 N4 O8 P,0.79,348.04738,349.05457,6.323,1438093.286,1532079.635,1132704.322,1766899.416,1296717.15,1104297.918,453872.9481,643693.0478,634502.3919,835726.3261,752951.5609,638211.8929,469943.6686,410897.1391,473214.9297,462274.5112,21327.98625,486262.1783,488630.5106,229751.8136,246614.47,207579.824,196761.9311,192679.7815,240200.2683,40318.02195,34026.35657,1283663.02,36974.43058,38476.38243,42555.37494,77729.36966,39334.75023,75720.02402,98861.10084,118479.3501,35133.08436,25200.0091,991542.9753,31536.0945,33381.71295,31578.57711,29090.90003,30340.06935,31739.2218,34965.71168,34372.71439,24591.97504,103877.9678,23681.58135,25547.92477
,C8 H12 Cl O16 P,2.05,429.95603,430.96329,6.329,811919.6056,577197.9109,627753.0566,603767.6316,495073.995,663620.0354,122655.3939,123949.2993,223448.6112,153008.1234,175380.2105,279169.9858,1025802.918,1013232.786,1030390.558,992941.4329,20405.76323,1085546.131,1102145.902,748190.4535,806485.6825,754254.8487,776100.6194,787442.3265,727340.3988,1561313.876,1080989.381,517501.0149,1157463.509,1199873.403,959461.9925,1411258.903,1102970.176,1425343.936,1307452.489,1130239.174,1534667.824,363876.0335,185675.7768,1012834.782,982925.5544,1021730.916,849719.5846,628818.0887,1154048.313,1117857.045,807122.1957,160436.2595,1007119.664,155643.4297,565465.151
,C8 H Cl2 N4 O7 P,-0.87,365.89567,366.90295,5.286,837487.8277,701776.0312,826290.6761,693449.1243,622621.3688,675827.5121,113001.2369,144432.4142,268008.3949,242511.6112,401764.6241,368212.3245,542874.1812,542514.4793,490443.8613,548046.984,15567.82623,649771.7754,557513.6273,171459.5935,202877.9469,199006.4084,178036.0813,194909.2744,217012.5392,225952.9326,400700.4285,791873.4497,196980.4011,427972.8969,226595.1082,308159.6141,227434.8906,383770.7223,382278.5532,501365.7553,132552.86,94113.73146,396125.4413,64614.56598,234273.115,63823.0071,58789.28848,53429.79186,131408.8818,126888.4715,165685.448,252766.5545,1141606.976,128199.5369,469436.3568
cis-2-Carboxycyclohexyl-acetic acid,C9 H14 O4,-1.37,186.08895,187.09617,3.49,500646.6378,529291.1809,728630.2272,1023074.299,408711.6329,556899.375,148640.3307,177442.4163,257649.8131,79402.24993,267251.6622,248932.9856,360862.7606,304581.9653,310874.1911,276737.7998,32313.68166,315898.5065,321260.4653,119124.3275,111367.9587,118700.8178,141306.2113,110479.2599,290213.1749,63261.70078,85474.85413,791461.9397,112007.5276,93053.41637,125660.5271,80249.59192,66414.4949,58179.94449,104970.4938,78128.86737,51138.25093,50194.61302,408238.4065,52185.94392,50524.52015,50798.61241,44104.22779,54000.11931,53339.13119,65125.98952,40442.2514,50561.18485,86487.44593,52813.98535,52482.49741
Xipamide,C15 H15 Cl N2 O4 S,0.94,354.04444,355.05177,6.328,258459.5417,185975.9794,214288.2875,260833.1102,186480.0654,213685.3543,16057.32249,18277.09101,49113.75415,28968.63911,49281.83305,64759.40831,477752.5175,523403.7929,560708.8875,525465.2583,14958.51151,598326.7949,516371.9344,239255.7594,238267.4092,217714.8745,260553.3026,226583.4026,216932.7779,521316.5967,414358.4067,203400.5725,510082.9171,700701.4955,705692.7741,745056.8876,724679.7798,725040.409,750603.549,929156.3329,434693.2635,79032.33612,59225.5112,271134.5291,416188.4822,350877.6757,257144.3957,330904.3625,372979.7391,375408.6458,443385.9518,60724.29412,448602.8841,16609.21959,129801.8311
,C16 H5 Cl N2 P2 S,1.2,353.93414,354.94142,4.348,745544.7521,643398.1186,680811.1363,622453.8964,704125.1017,568355.5015,190446.3789,265380.5766,584026.5935,287573.1415,475627.8192,469612.3018,541982.2551,558569.3419,458358.9016,491094.9958,28551.60947,898144.8592,578229.8758,310640.9792,342964.9597,333683.006,221454.2853,325565.42,285475.9636,418131.4227,504854.6077,748256.8385,375160.9552,473027.3395,577469.2945,536650.5485,507590.9754,487805.5459,433793.2767,547876.5707,201727.9666,159593.0282,570238.0926,178277.6695,426183.7751,305259.3546,286993.5898,318636.1644,300279.4228,376888.3524,274112.8057,298532.1014,471409.3459,297021.2248,322836.5848
,C25 H14 N O13 P S,0.03,598.99236,599.99958,6.329,408565.0532,315973.89,316782.4422,359573.0772,208878.959,305649.5316,18445.92072,29183.95168,73852.04561,24568.97793,48484.7227,89957.68871,660685.4514,649871.1631,591517.9037,664383.6472,17183.6567,618720.387,653224.8898,391650.8918,419087.8747,407272.7457,412006.0399,353393.2593,400034.1188,744148.4119,649528.2128,306276.671,707337.606,679447.6869,632442.7384,816172.3184,723676.6675,798365.0529,818879.9451,715169.1415,723100.6977,139376.5913,57416.18939,483119.179,601199.1196,559446.4931,459772.4713,335753.7018,649571.9814,638503.826,515854.3123,39046.24724,583960.1328,38729.68153,243413.3267
,C39 H14 N3 O3 P S2,-0.5,667.02108,668.02836,6.744,303766.9965,313582.3117,280514.2815,354414.3262,235483.4915,258575.4351,69086.30992,88283.87878,117953.5437,102845.5331,157912.9412,120881.5659,473365.2773,475821.5295,459942.9151,484770.8878,19169.52501,472463.0676,464113.4338,223672.5168,226797.4839,225466.7033,261789.6367,247518.302,258106.5251,464632.8628,331485.0624,313419.9367,536973.1481,517050.7521,815663.3647,680533.9434,757991.0927,505913.0838,564629.9224,610501.5334,251820.2125,133455.4316,128279.0938,239802.2491,315914.8213,375072.378,245718.2654,322075.278,283293.1247,320392.0024,274312.8882,230128.8965,326127.5838,108741.2029,140400.926
,C3 H6 N3 P3 S,-2.13,208.94908,209.95633,6.401,153389.1862,173868.4667,127778.2803,121678.277,131347.7595,137526.8521,31826.01949,31386.66789,123913.1833,31784.64173,70403.61819,181077.4885,367150.7322,348774.5826,440723.154,420627.3649,49264.41653,433571.7622,449721.7608,217336.9735,204279.1811,216940.7298,209533.9558,249434.1606,225543.4925,400166.9051,456431.3223,169605.9838,667736.4599,569429.101,345560.6762,535552.1272,395185.2736,742862.1498,560387.2871,645736.9097,273939.7608,120934.4012,163672.1053,369556.4487,287670.8738,196013.9144,228461.9513,156473.1571,314496.1409,343841.5299,270466.7975,260001.0096,741715.6245,176611.2929,358758.7672
,C11 H10 Cl N5 O13 P2,0.81,516.9443,517.95158,5.282,432714.9913,385044.0072,382398.3566,392597.7932,293313.4135,311904.6565,56890.51106,53100.36726,151962.1607,41943.2399,179924.1673,165294.9055,311258.6465,222402.4045,241411.4508,244151.1449,16610.28492,333047.9345,284949.9379,75771.42727,63802.37536,59394.74824,77105.88248,62412.3043,65764.03844,91805.41419,199925.8546,390628.0782,74235.45011,254159.1685,38029.75518,198945.3981,109401.5491,196812.446,148528.3437,190669.7945,40129.96093,23013.01289,208194.0249,26650.62086,93152.21253,22810.40057,23667.35532,24875.25737,50033.14423,42200.97582,63500.09651,90039.66438,700129.6883,50981.66111,210516.2001
Frovatriptan,C14 H17 N3 O,-0.07,243.13715,244.14442,2.985,438123.1366,441292.2284,500864.7613,559150.2692,371835.1321,485230.4131,182131.028,212514.8232,276008.1019,295025.1865,263610.5137,331134.0644,357836.6602,383353.6283,326775.6522,326709.0976,21722.08627,356977.6361,390132.9666,214102.9884,159124.6967,194544.5103,197392.9447,199513.6749,178223.1633,234271.8264,282873.9219,469885.7593,317031.16,305993.6486,185012.9297,293412.0331,327999.4805,338883.0322,304354.979,272166.5488,217792.397,103664.0335,270222.3837,192996.2494,239832.3219,121230.5591,159457.406,200343.0704,174245.2643,179123.8774,120729.5045,37690.55616,417109.3721,86255.5595,269868.7254
Citicoline,C14 H26 N4 O11 P2,1.41,488.10802,489.1153,6.759,378302.1694,426202.6746,513903.3817,537410.3826,484290.8968,290300.0155,83817.03272,141559.8572,200870.0938,159879.1918,219671.3757,129588.0422,371957.9546,347122.8683,360358.7307,359112.0991,17359.72209,378298.574,352898.6019,209387.6787,197987.4024,185416.6985,184795.5843,196867.7052,196739.4315,198710.7488,381495.4481,266045.7515,263384.2264,338306.61,219479.5942,359904.0175,279884.8872,447936.6892,386585.2635,525179.6886,240815.6441,146437.0138,99194.04784,112150.7977,307426.4841,127951.8405,141903.6162,146444.8224,321669.0356,210995.7353,267781.4915,177777.0836,447210.6669,75997.43252,238249.6612
,C21 H22 N3 O15 P S3,-0.49,682.99473,684.00201,6.744,219819.6417,236637.0733,131904.2426,258745.3391,177410.1093,199394.7777,64151.92857,108606.9227,75515.27567,92245.79319,96698.06612,119211.0982,331895.7886,315444.3306,354143.1279,316259.2472,17300.47242,381280.9283,348475.1129,176452.6498,182042.6795,182580.3618,170016.4992,200077.5927,150748.2473,477673.3919,249215.4445,239800.432,406320.0078,368602.4172,504555.3746,496074.5414,509693.5789,411799.4361,422505.3209,421848.4143,322330.3494,83293.34802,52028.2193,269599.1898,227625.888,299465.3174,239191.6939,205022.5151,224702.962,264928.6409,172009.921,154675.6176,227539.482,97292.24148,153809.5965
gamma-Glutamylalanine,C8 H14 N2 O5,-0.64,218.09013,219.09742,6.569,437963.7654,469141.481,453898.1134,445659.8136,400630.7157,321711.4637,68619.89048,95872.48928,247751.7547,79761.70849,142896.1609,286283.255,443036.8539,452507.1844,393075.1889,340169.4561,23021.26066,362413.4326,274565.1617,188152.8736,196206.148,182793.4802,187032.0941,175912.5898,186315.1455,289060.1827,493726.4252,455082.8098,297684.4494,371070.3364,220446.6458,331669.7088,211057.2494,218030.6255,242951.881,216865.2914,70455.00589,93348.22147,332758.7403,98913.14035,259486.4843,140503.0663,168999.6847,157198.2323,153256.2858,239107.3789,141856.4336,274596.4093,328601.2483,194969.8813,135857.7878
,C3 H4 Cl2 N2 O13 P2 S,-0.35,439.82848,440.83576,5.288,185960.7677,145335.9857,157571.7648,183375.9983,126849.0364,145657.5951,42315.99723,36207.53969,63713.83454,72627.72038,82411.09625,51932.42989,113570.7107,84200.18822,135004.5253,140603.9745,16286.55283,169745.4,113562.2501,25930.81845,33241.39985,68119.18425,52912.62377,45037.59905,57780.79308,45974.85064,108037.8958,128801.4347,32994.17311,98498.97618,48832.55636,75442.62523,67022.29775,92812.88629,97712.79452,106050.4521,21240.19535,20669.37082,96686.79516,26388.95817,55511.9947,22929.54362,20547.70799,22340.06281,42811.7494,35224.09588,41286.13324,61995.38748,192924.37,41344.96727,105932.1974
