Name,Formula,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Sample_2.raw (F4),Sample_6.raw (F8),Sample_7.raw (F9),Sample_12.raw (F15),Sample_15.raw (F18),Sample_17.raw (F21),Sample_2a.raw (F33),Sample_6a.raw (F37),Sample_7a.raw (F38),Sample_12a.raw (F44),Sample_15a.raw (F47),Sample_17a.raw (F50),QC9.raw (F1),QC10.raw (F2),QC11.raw (F11),QC12.raw (F20),Solvent_Blank.raw (F27),QC13.raw (F28),QC14.raw (F29),QCB4.raw (F30),QCB5.raw (F31),QCB6.raw (F40),QCB7.raw (F49),QCB8.raw (F56),QCB9.raw (F57),Sample_1.raw (F3),Sample_3.raw (F5),Sample_4.raw (F6),Sample_5.raw (F7),Sample_10.raw (F13),Sample_11.raw (F14),Sample_14.raw (F17),Sample_16.raw (F19),Sample_18.raw (F22),Sample_19.raw (F23),Sample_20.raw (F24),Sample_1a.raw (F32),Sample_3a.raw (F34),Sample_4a.raw (F35),Sample_5a.raw (F36),Sample_10a.raw (F42),Sample_11a.raw (F43),Sample_14a.raw (F46),Sample_16a.raw (F48),Sample_18a.raw (F51),Sample_19a.raw (F52),Sample_20a.raw (F53),Sample_8.raw (F10),Sample_13.raw (F16),Sample_8a.raw (F39),Sample_13a.raw (F45)
"Threo-sphingosine, (-)-",C18 H37 N O2,0.43,299.28256,300.28985,1.486,8694281.568,5659821.306,4334760.374,3516007.455,1935775.667,7934302.002,3625490.113,3924773.263,2966868.962,4126026.649,942684.8494,4063342.834,12595900.65,12556209.14,11501227.84,11396786.75,100242.5128,10580916.06,10509737.5,8678712.017,8784680.106,9073842.451,9130569.753,8992080.263,9311110.605,23596372.17,15402522.67,2288298.42,16475494.08,11214863.1,474956.1158,20044143.46,2536049.981,16643027.98,20761552.61,1652107.938,19775223.48,3528413.922,596459.7735,15398812.41,13393759.73,6915643.48,10724975.76,420286.9692,11629917.69,16848523.61,950292.5085,1531040.478,5264090.722,5823797.055,4527202.682
L-(-)-Asparagine,C4 H8 N2 O3,-0.09,132.05348,133.06076,5.758,22652005.36,19873102.91,20750542.95,22205981.42,17840094.12,18406661.46,6292471.827,7754105.163,9920966.246,8971767.934,10208502.71,12373500.56,15498736.93,15590861.88,15753637.69,15162901.34,78575.53383,15553101.29,15242375.77,7463351.338,7622011.919,7612645.882,7664692.71,7734859.896,7715748.742,10425921.18,13170157.62,19896303.25,9133067.329,10331796.65,10137329.83,12702194.86,10633307.68,10389567.27,11797509.54,12413121.9,6909329.632,4410765.616,10987409.49,4830285.488,7143446.799,5394890.402,4883337.848,4709588.264,5829101.59,6763397.656,5469196.314,7932483.434,23365195.12,5185655.975,11570388.28
,C4 H8 N O P S,0.94,149.00656,150.01384,5.768,17142745.61,17768465.61,18272459.98,21252369.49,17615619.76,14017417.31,4333934.776,4352453.525,8040052.961,6465761.033,10504815.98,9843585.464,11909346.66,12614641.2,13295452.57,12981091.13,44614.36119,13645662.32,13834654.13,5550912.468,5600456.165,5997046.981,6056979.279,6189066.74,6392659.677,4600434.474,9095501.557,19727084.06,6154458.355,8202872.434,9255551.139,8551149.105,9142967.151,7402521.597,8449804.036,11738515.76,3041863.902,3562331.72,13156284.17,2371595.749,5269177.985,3594342.658,3164693.019,4434084.591,4273277.255,4476916.281,6211664.85,6547344.637,19696230.85,3598343.257,8878558.401
Thiamine,C12 H16 N4 O S,-0.17,264.10444,265.11171,4.356,12245344.6,12923388.45,11218337.43,11176737.93,12325499.6,8039111.057,2467403.042,3738937.381,9663467.648,4214888.344,6421328.721,11706261.07,10060158.27,10022270.05,10033470.39,10093297.03,27184.6262,10106285.17,9711727.957,6391599.674,6488466.357,6316966.838,6135335.745,6316590.269,5984061.272,7491943.711,17271160.28,11738430.08,6084709.623,8755656.163,9950432.979,10347240.41,6795231.799,6813314.937,7889259.308,7935781.187,3771313.321,4458901.919,12179416.59,4128014.311,9169548.478,7178623.922,5725361.704,6072626.996,6194043.48,8805678.713,5729740.789,11733075.5,6746877.134,8088024.146,4541451.393
Homoserine,C4 H9 N O3,-1.31,119.05809,120.06539,5.408,15045900.88,12970817.1,14271355.54,16160832.02,11941599.6,12629912.39,3400956.186,4211854.716,6246494.572,5178833.891,6582852.897,6990146.003,8691883.967,8838981.804,8285288.41,8934993.924,824076.5741,9666682.462,9467491.85,3536854.93,3509423.631,3402901.526,3339691.994,3652621.072,3588155.351,4148464.723,6495729.936,13358884.32,3728554.06,4861625.292,4259682.114,5957972.671,4890776.552,4786769.28,5660421.471,6249215.754,2292653.743,1695882.153,6434983.912,1638882.384,2914206.557,1880744.713,1875724.479,1810128.543,2382681.243,2812617.901,2379251.561,3469272.828,15997465.09,2019848.369,6374505.952
Phosphoarginine,C6 H15 N4 O5 P,0.39,254.07811,255.08537,7.639,1041517.469,732759.0151,652775.3026,1237674.709,1413237.547,1077818.166,340332.9065,243212.979,287066.3984,392368.3583,383126.3465,1019970.514,5030170.128,4865270.991,4833588.598,5398712.62,32531.73564,4829331.088,5443007.209,3434079.487,3565648.701,3562184.969,3492007.033,3570840.779,3608480.346,4822672.802,4051922.817,2095305.593,6217164.662,6611124.114,13606521.13,7816584.084,13251682.49,5169302.078,6120213.345,11006913.24,5090985.735,2857165.149,2759044.385,4269888.813,5818900.277,6845369.979,3185117.915,8991512.859,3708223.476,3991805.907,6644802.059,2388261.057,2229317.896,2175464.977,907419.1504
UDP-GlcNAc,C17 H27 N3 O17 P2,2.29,607.08296,608.09032,6.743,4357061.106,3744288.515,3553325.061,4251697.172,3162428.888,3254651.502,1035269.126,1195302.5,1358801.638,1212284.339,1862060.608,1617831.342,6185424.579,6118307.241,6126616.259,5942937.516,18732.65028,5985251.82,5799091.883,2844720.943,2799953.646,2858204.274,2748971.58,2950167.404,2716322.62,6164500.829,4546250.858,3823830.995,6784817.554,6720652.666,10382120.14,8843205.328,9578400.224,6775074.643,7530730.046,8333728.823,4085864.206,1378363.662,1758766.41,2970031.05,3541810.231,4688728.777,2778967.981,3901562.13,3379681.819,3720069.817,3442188.728,2721022.852,4038055.275,1512343.903,1916725.468
,C7 H12 N3 O7 P S,-1.68,313.01283,314.02011,5.764,6094257.809,6320583.839,6997573.43,8470014.645,7254304.69,4730148.965,1320060.66,1256058.475,3067023.656,2123818.882,4780876.391,3548218.757,4936204.718,4915393.481,5267635.514,5242149.684,24397.0099,5809549.892,5571193.989,2128493.852,2124035.874,2312026.991,2455010.641,2570201.53,2499615.523,1206173.811,3727918.367,8672561.355,2389777.255,3327544.315,4573053.158,3368143.624,3990190.78,2872498.056,3472254.179,5432374.742,886130.6407,1584115.855,6208820.571,731494.9603,2254570.537,1397131.618,1269086.911,2370014.269,1760286.331,1717406.131,2964915.647,2861670.263,7464731.439,1213691.419,3353358.933
Aspartate,C4 H7 N O4,-0.06,133.0375,134.04479,6.399,1451918.151,1447964.38,1487013.421,1317121.942,2167691.641,1373299.786,729130.4159,520201.606,965891.8424,764455.7721,1230872.753,1700441.619,3624104.188,3898978.853,3855279.471,3939767.077,551430.3295,5332009.509,3917606.302,1823955.35,2583677.574,2446266.089,1848726.425,1811870.874,2615686.024,3155934.391,4211965.169,1765832.329,6191340.669,5453527.701,4026961.204,5025178.027,4189308.281,6535684.401,6447954.135,7542572.387,2604213.592,1260024.923,2134649.546,2824325.6,3202065.542,2254966.918,1693082.769,1756143.105,2853896.214,2495948.714,2653988.749,2666066.939,6807363.39,1517081.021,3883683.004
(4-Ethoxyphenyl)urea,C9 H12 N2 O2,-0.64,180.08976,181.09704,1.209,6690829.13,5883093.643,5487188.048,5064607.986,3830890.047,4910356.434,1792838.231,2210479.918,4957252.795,2936860.77,2655521.685,6207749.911,4723470.22,4485594.88,4575461.026,4604984.522,170624.024,4376370.077,4314039.885,3098886.679,3128283.323,3325963.931,3331290.051,3401502.295,3378781.444,4116397.113,5564196.114,5643363.226,3634587.543,4005472.242,3598489.684,5124534.547,2917298.4,3290510.279,3586066.067,4332854.514,2467585.462,1935690.454,4646001.758,2985504.604,4360893.743,3649301.121,3094371.24,2468635.366,3103369.289,4936858.236,3239354.44,2756547.73,4543419.293,3571861.09,3147352.612
